Monster Name,Description
Ancient Blue Dragon,"Gargantuan dragon,  lawful evil  Armor Class 22  (natural armor) Hit Points 481  (26d20 + 208) Speed 40ft., burrow 40ft., fly  80ft. "
Ancient Brass Dragon,"Gargantuan dragon,  chaotic good  Armor Class 20  (natural armor) Hit Points 297  (17d20 + 119) Speed 40ft., burrow 40ft., fly  80ft. "
Ancient Copper Dragon,"Gargantuan dragon, chaotic good  Armor Class 21  (natural armor) Hit Points 350  (20d20 + 140) Speed 40ft., climb 40 ft.,  fly  80 ft. "
Ancient Green Dragon,"Gargantuan dragon,  lawful evil  Armor Class 21  (natural armor) Hit Points 385  (22d20 + 154) Speed 40ft., fly 80ft., swim 40ft. "
Ancient Red Dragon,"Gargantuan dragon,  chaotic evil  Armor Class 22  (natural armor) Hit Points 546  (28d20 + 252) Speed 40ft., climb 40ft., fly  80ft. "
Ancient Silver Dragon,"Gargantuan dragon,  lawful good  Armor Class 22  (natural armor) Hit Points 487  (25d20 + 225) Speed 40ft., fly  80ft. "
Ancient White Dragon,"Gargantuan dragon, chaotic evil  Armor Class 20  (nat ural  armo r) Hit Points 333  (18d20 +  144) Speed 40 ft.,  burrow 40 ft.,  fl y 80ft ., sw im  40 ft. "
Androsphinx," An  androsphinx bears the head of a humanoid male on its lion's body. Outwardly gruff and downcast, it often begins conversations with insults or negative observations. Beneath this gruff exterior, however, an androsphinx has a noble heart. It has no wish to  lie or deceive, but it doesn't give away information readily, choosing its words as wisely as it guards its secrets. An androsphinx tests the courage and valor of  supplicants, not only by forcing them to complete quests but also with its terrible roar, which echoes for  miles as it  terrifies and deafens nearby creatures. Those who pass its tests may be rewarded with a heroes' feast. "
Androsphinx,"Large  monstrosity,  lawful neutral  Armor Class 17  (natural armor) Hit Points 199  (19dl0 + 95) Speed 40ft., fly  60  ft. "
Animated Armor," This empty steel shell clamors as it moves, heavy plates banging and grinding against one another like the vengeful spirit of a fallen knight. Ponderous but persistent, this magical guardian is almost always a suit of plate armor.  To add to its menace, animated armor is frequently enchanted with scripted speech, so the armor can utter warnings, demand passwords, or deliver riddles. Rare suits of animated armor are able to carry on an actual conv'et:s ation. "
Ankheg,"An ankheg resembles an enormous many-legged insect, its long antennae twitching in response to any movement around it. Its legs end in sharp hooks adapted for burrowing and grasping its prey, and its powerful mandibles can snap a small tree in half.  Lurkers in the Earth. The ankheg uses its powerful  mandibles to dig winding tunnels deep beneath the ground. When it hunts, an ankheg burrows upward, waiting below the surface until its antennae detect movement from above. Then it bursts from the earth and. seizes prey in its mandibles, crushing and grinding while it secretes acidic digestive enzymes. These enzymes help dissolve a victim for easy swallowing, but the ankheg can also squirt acid to take down foes.  Bane of Field and Forest. Although ankhegs receive a certain portion of their nutrients from the soil through which they burrow, they must supplement their diet with fresh meat. Pastures teeming with grazing livestock and forests rife with game are an ankheg's prime hunting gro~nds. Ankhegs are thus the bane of farmers and rangers everywhere.  Earthen Tunnels. As it burrows through earth, the ankheg leaves a narrow, partially collapsed tunnel in its wake. In these tunnels, one might find the remnants of molted ankheg chitin, hatched ankheg eggs, or the grisly remains of ankheg victims, including coins or other treasures scattered during the creature's attack.  -  ·===  -"
Ankylosaurus," Thick armor plating covers the body of the plant-eating ankylosaurus, which defends itself against predators with a knobbed tail that delivers a devastating strike. Some varieties of ankylosaurus have spiked tails that deal piercing damage instead of bludgeoning damage. "
Ape,"Medium  beast, unaligned  Armor Class  12 Hit  Points 19  (3d8  + 6) Speed 30ft., climb 30ft. "
Archmage,"Medium  humanoid (any  race), any alignment  Armor Class 12  (1 5 with mage armor) Hit Points 99  (18d8 + 18) Speed 30ft. "
Awakened Tree,"Huge  plant,  unaligned  Armor Class  13  (natural  armor) Hit Points  59  (7d12 + 14) Speed 20ft. "
Axe Beak,"Large  beast, unaligned  Armor Class  11 Hit Points  19  (3d10 + 3) Speed 50 ft. "
Baboon,"Small beast,  unaligned  Armor Class 12 • Hit Points 3  (1d6) Speed 30ft., climb 30ft. "
Badger,"Tiny  beast,  unaligned  Armor Class 10 Hit Points 3  (ld4 +  1) Speed 20ft., burrow 5 ft. "
Balor,"Huge fiend  (demon) , chaotic evil  Armor Class  19  (natural armor) Hit Points  262  (21d12 + 126) Speed  40ft., fly  80ft. "
Bandit,"Medium  humanoid (any  race),  any non-lawful alignment  Armor Class  15  (studded leather) Hit Points  78  (12d8 +  24) Speed  30ft.  Armor Class  12  (leather armor) Hit Points  11  (2d8 +  2) Speed  30ft. "
Bandit Captain,"Medium  humanoid (any race), any non·lawful alignment  Armor Class 15  (studded  leather) Hit Points 65  (10d8 + 20) Speed 30 ft. "
Banshee,"When night falls, unlucky travelers hear the faint cries of the forlorn dead. This woeful spirit is a banshee, a spiteful creature formed from the spirit of a female elf. Banshees appear as luminous, wispy forms that  vaguely recall their mortal features. A banshee's face is wreathed in a wild tangle of hair, its body clad in wispy rags that flutter and stream around it.  Divine Wrath. Banshees are the undead remnants of elves who, blessed with great beauty, failed to use their gift to bring joy to the world. Instead, they used their beauty to corrupt and control others. Elves afflicted by the banshee's curse experience no gladness, feeling only distress in the presence of the Jiving. As the curse takes its toll, their minds and bodies decay, until death completes their transformation into undead monsters.  Sorrow Bound. A banshee becomes forever bound to the place of its demise, unable to venture more than five miles from there. It is forced to relive every momerit of its life ~ith perfect recall, yet always refuses to accept responsibility for. its doom.  Beauty Hoarders. The vanity that inspired the  banshee's cursed creatipn persists in undeath. These creatures covet beautiful objects: fine je~elry, paintings, statues, and other objects of art. At the same time, a banshee abhors any mirrored surface, for it can't bear to see the horror_ of its own existence. A single glimpse of itself is enough to send a banshee into a rage.  Undead Nature. A banshee doesn't require air, food,  c "
Barlgura," The barlgura represents the savagery and brutality of t'he Abyss. Barlguras gather in packs to take down tougher foes,  keep gruesome trophies from their victories, and decorate their territory with such objects.  ,A barlgura looks like a hulking orangutan with a gruesome, drooping visage and tusks jutting from its jaw. Standing just under 8 feet tall, it has broad shoulders and weighs 650 pounds. It moves apishly along the ground, but it climbs with great speed and agility. "
Barlgura,"Large fiend  (demon),  chaotic evil  Armor Class 15  (natural armor) Hit  Points 68  (8dl0 + 24) Speed 30ft., climb 30ft.  lfday each: entangle,  phantasmal force 2fday each: disguise  self,  invisibility  (self only)  Reckless. At the start of its  turn, the barlgura can gain advantage on all  melee weapon  attack rolls  it  makes during that turn , but attack rolls  against it  have advantage until  the start of its  next turn . "
Basilisk,"Travelers sometimes find  objects that look like pieces of remarkably lifelike stone carvings of wildlife. Missing parts appear to have been bitten off.  Seasoned explorers regard such relics as warnings, knowing that the basilisk that created them is likely to  be nearby. Adaptable Predators. Basilisks  thrive in arid, temperate,  or tropical climates. They lair in caves or other sheltered sites. Most often, basilisks are encountered underground.  A basilisk born and raised in  captivity can be domesticated and trained.  Such a trained basilisk knows how to avoid meeting the eyes of those its master wishes to  protect from its gaze, but it makes a daunting guardian beast. Because of this use, basilisk eggs are highly prized.  Gaze of Stone. Basilisks a re ponderous for hunting  creatures, but they needn't chase prey. Meeting a basilisk's supernatural gaze can be enough to affect a rapid transformation, transforming a victim into porous stone. Basilisks, with their strong jaws, are able to consume the stone. The stone returns to  organic form in the basilis k's gullet.  Some alchemists are said to know how to process the basilisk's gullet and the fluids contained within. Properly handled, the gullet produces an oil that can return petrified creatures to  flesh and life. Unfortunately for such a victim, any parts lost in stone form  remain absent if the creature revives. Revivification using the oil  is impossible if a vital part of the petrified creature, s uch as its head,  is detached ."
Bat,"Tiny beast, unaligned  Armor Class 12 Hit Points 1  (1d4- 1) Speed 5 ft.,  fly  30ft. "
Behir,"11uge monstrosity, neutr.al evil  Armor Class 17  (natural armor) Hit Points 168  (l6d12 + 64) Speed 50 ft. , climb 40ft. "
Beholder Zombie,"Large  undead,  neutral evil  Armor Class 15  (natural  armor) Hit Points 93  (lld10 + 33) Speed 0 ft.,  fly  20ft.  (hover) "
Black Bear,"Medium  beast,  unaligned  Armor Class 11  (natural armor) Hit Points 19  (3d8 +  6) Speed 40ft., climb 30ft. "
Black Dragon Wyrmling,"Medium dragon, chaotic evil  ·  Armor Class 17  (natural armor)  Hit Points 33  (6d8 + 6) Speed 30 ft., fly  60ft., swim 30ft. "
Black Pudding,"Large ooze,  unaligned  Armor Class  7 Hit Points 85  (10d10 + 30) Speed 20ft., climb 20ft. "
Blink Dog,"Medium fey, lawful good  Armor Class 13 Hit Points 22  (4d8 + 4) Speed 40ft. "
Blue Dragon Wyrmling,"Medium dragon,  lawful evil  Armor Class 17  (natu ral  armor) Hit Points 52  (8d8 + 16) Speed 30ft., burrow 15ft., fly  60ft. "
Boar,"Medium  beast,  unaligned  Armor Class 11  (natural armor) Hit Points  11  (2d8 + 2) Speed 40ft. "
Bone Devil,"Large fiend  (devil),  lawful evil  Armor Class 19  (natural armo r) Hit Points 142  (15d10 + 60) Speed 40 ft. , fly  40ft. "
Brown Bear,"Large beast,  unaligned  Armor Class  11  (natural  armor) Hit  Points 34  (4d10 + 12) Speed 40ft., climb 30ft. "
Bugbear,"Medium  humanoid (goblinoid) , chaotic evil  Armor Class 16  (hide armor, shield) Hit Points 27  (5d8 + 5) Speed 30ft. "
Bulette,"A bulette is a massive predator that terrorizes any lands it inhabits. Also· called a ""land shark,"" it lives only to feed.  Irascible and rapacious, bulettes fear no other creature, and they attack with no regard for superior numbers or strength.  Underground Hunters. Bulettes use their powerful claws to tunnel through the eaFth when they hunt. Heedless of obstruction, they uproot trees, cause landslides in loose slopes, and leave sinkholes behind them. When vibrations in the soil and rock alert a bulette to moveme nt, it shoots to the surface, its jaws spread wide as it attacks.  Wandering Monster. A bulette ranges across  temperate lands, feeding on a ny a nimals and humanoids it comes  across. These creatures dislike dwarf and elf flesh , although they often kill them before realizing what they are. A bulette loves halfling meat the most, a nd it is never happier than when chasing plump halflings across an open field.  A bulette has no lair, but roams a hunting territory up to thirty miles wide. Its s ole criterion for territory is availability of food,  and when it has eaten everything in an area , a bulette moves on. These creatures often home in on humanoid settlements, terrorizing them until their panicked residents  have fled, or until the bulette is s lain.  All creatures shun bulettes, which treat anything that moves as food- even other predators and bulettes . Bulettes  come together only to mate, resulting in a bloody act of claws and  teeth that usually ends with the male's death a nd  consumpti on.  Arcane Creation. Some sages believe the bulette  is the result of a mad wiza rd 's experiments at crossbreeding sn apping turtles a nd armadillos, with infusions of demon ichor. Bulettes have been thought to be extinct at different times, but a fter yea rs without a sighting, the creatures inevitably reappear. Because their young a re almost never seen, s ome sages s uspect that bulettes maintain secret nesting grounds from which adults strike out into the world.  34 "
Bullywug,"Life as a bullywug is nasty, brutish, and wet. These frog headed amphibious humanoids must stay constantly moist, dwelling in rainy forests, ma rshes, and damp caves. Always hungry and thoroughly evil, bullywugs overwhelm opponents with superior numbers when they can, but they flee from serious threats to search for easier prey.  Bullywugs have green, gray, or mottled yellow skin that shifts through shades of gray, green, and brown, allowing them to blend in with their surroundings. They wear crude armor and wield simple weapons, and can deliver a powerful bite to foes that press too close.  Foul Aristocracy. Bullywugs consider themselves the right and proper rulers of the swamps. They follow an etiquette of sorts when dealing with outsiders and each other, subject to the whims and fancies of their leader- a self-styled lord of the muck. Bullywugs introduce themselves with grand-sounding titles, make great shows of bowing and debasing themselves before their superiors, and endlessly vie to win their superiors' favor.  A bullywug has two ways to advance among its kind.  It can either murder its rivals, though it must take pains to keep its criminal deeds s ecret, or it can find a treasure or magic item and present it as tribute or a token of obeisance to its liege. A bullywug that murders its rivals without cunning is likely to be executed, so it's more common for bullywugs to stage raids against caravans and settlements, with the goal of securing precious baubles to impress their lords and win their good graces. Invariably, such fine goods.are reduced to filthy tatters throug.h abuse and neglect. Once a gift loses its sheen, a bullywug lord invariably demands that its subjects bring it more treasure as tribute.  Unruly Diplomacy. Bullywugs love nothing more than  lording over those who trespass on their territories. Their warriors attempt to capture intruders rather than simply slaying them.  Captives are dragged before the king or queen-a bullywug of unusually large size- and forced to beg for mercy. Bribes, treasure, and flattery can trick the bullywug ruler into letting its captives go, but not before it tries to impress its ""guests"" with the majesty of its treasure and its realm. Struck with a deep inferiority complex, bullywug lords fancy themselves as kings and queens, but desperately crave the fear and respect of outsiders.  Amphibian Allies. Bullywugs speak a language that allows them to communicate over large areas by croaking like frogs. News of intruders or other events in the swamp spread within minutes across this crude communication system.  Simple concepts in the language are understandable  to frogs and toads. Bullywugs use this capability to form strong bonds with giant frogs, which they train as guardians and hunters. Larger specimens are sometimes used as mounts as well. The frogs' ability to swallow creatures whole provides a bullywug hunting band an easy means of carrying prey back to their villages.  Medium  fium'anoid (bullywug), neutral evil  Armor Class 15 (hide armor, shield) Hit Points 11 (2d8 + 2) Speed 20ft., swim 40ft. "
Cambion,"A cambion is the offspring of a fiend (usually a succubus or incubus) and a humanoid (usually a human). Cambions inherit aspects of both parents, but their horns, leathery wings, and sinewy tails are hallmarks of their otherworldly parentage.  Born to Be Bad. Cambions grow into ruthless adults  whose wickedness and perversion horrifies even the most devoted mortal parent. Even as a youth, a cambion identifies its rightful place as an overlord of mortals. It might orchestrate uprisings in towns and cities, gathering gangs of humanoids and lesser devils to serve it.  Pawns of the Mighty. A cambion forced to serve its fiendish parent does so out of admiration and dread, but also with the expectation that it will one day rise to a place of prominence. Cambions raised in  the Nine Hells serve as soldiers, envoys, and personal attendants to greater devils. In the Abyss, a cambion carries only as much authority as it can muster through sheer strength and force of will.  Spawn ofGraz'zt. The demon lord Graz'zt is fond of procreating with humanoids who have made pacts with fiends, and he has sired many cambions who help him sow chaos across the multiverse. These cambions are characterized by charcoal-black skin, cloven hooves, six fingered hands, and unearthly beauty.  3fday each: alter self,  command,  detect magic 1fday:  plane shift  (self only) "
Camel,"Large  beast,  unaligned  Armor Class 9 Hit Points 15  (2d10 + 4) ' Speed 50 ft. "
Cat,"Tiny beast,  unaligned  Armor Class 12 Hit  Points 2  (1 d4) Speed 40ft., climb 30ft. "
Centaur,"Large monstrosity,. neutral good  Armor Class 12 Hit Points 45  (6d10 + 12) Speed 50 ft. "
Chain Devil,"Medium fiend  (devil),  lawful evil  Armor Class  16  (natural armor) Hit Points 85  (l0d8 + 40) Speed  30ft. "
Chasme," This loathsome demon resembles an unspeakable cros sing of humanoid and fly.  A chasme shuffles about on four spindly legs that can find  purchase on walls and ceilings. A droning sound precedes the approach of a chasme, inflicting foes with a terrible lethargy that leaves them open to attack.  The lowly chasmes serve more powerful masters as  interrogators or taskmasters. A chasme lives to dole out torture as punishment, and has a knack for spotting demons that have deserted their lords. Capturing and returning such traitors allows a chasme to torment the victim without fear of reprisal. "
Chuul,"Large aberration, chaotic evil  Armor Class 16  (1;1atural armor) Hit  Points 93 (11d10 + 33) Speed 30ft.,  swim 30ft. "
Clay Golem," Sculpted from clay, this bulky golem stands head and shoulders taller than most human-sized creatures. It is human shaped, but its proportions are off.  Clay golems are often divinely endowed with purpose by priests of great faith.  However, clay is a weak vessel for life force . If the golem is damaged, the elemental spirit bound into it can break free. Such a golem  ·  1 runs. amok, smashing everything around it until it i~ destroyed or completely repaired. "
Cockatrice,
Commoner,"Medium  humanoid (any  race) , any alignment  CuLT FANATIC Medium humanoid (any race),  any non-good alignment  Armor Class 10 Hit Points 4 (1d8) Speed  30ft.  Armor Class 13  (leather arm o r) Hit  Points 33  (6d8 + 6) Speed 30ft. "
Constrictor Snake,"Large beast,  unaligned  Armor Class 12 Hit Points 13  (2d10 + 2) Speed 30ft. , swim  30ft. "
Couatl,"Medium  celestial, lawful good  Armor Class 19  (natural  armo r) Hit Points 97  (l3d8 + 39) Speed 30ft., fly  90ft. "
Crab,"Tiny  beast,  unaligned  Armor Class 11  (natura l a rmor) Hit Points 2 (1d4) Speed 20 ft. , swim  20ft. "
Crocodile,"Large  beast,  unaligned  Armor Class 12  (natural armor) Hit Points 19  (3d10 + 3) Speed 20ft., swim  30ft. "
Cult Fanatic,"Medium humanoid (any race),  any non-good alignment  Armor Class 10 Hit Points 4 (1d8) Speed  30ft.  Armor Class 13  (leather arm o r) Hit  Points 33  (6d8 + 6) Speed 30ft. "
Cultist,"Medium humanoid (any  race),  any non-good alignment  Armor Class 12 (leather arm or) Hit Points 9  (2d8) Speed 30ft. "
Cyclops,"Cyclopes are one-eyed giants that eke out a meager existence in wild lands. Isolationists by nature, they avoid contact with other races and try to drive away strangers in their territory.  Nonreligious. Legends claim that the cyclopes are the spawn of one of the gods of the giants, but these creatures pay little heed to  any deities. They see little benefit in prayer and dislike ritual, which they perceive as complex and foreign. However, a cyclops that gains direct benefit from some site of divine power, or which is threatened by a supernatural force or creature, will pay homage as long as the benefit or threat remains. Unsophisticated. Though they are reasonably  intelligent, cyclopes live simple, reclusive lives, keeping herds of animals for food.  They prefer to dwell alone or in small family groups, )airing in caves, ruins, or rough structures of dry stone construction they build themselves. A cyclops keeps its herd animals with it at night, sealing the entrance to its home with boulders to let it serve double duty as a barn.  A cyclops lairs within a day's journey of other  cyclopes, so that they can meet to trade goods or seek mates. They craft weapons and tools of wood and stone, but will  use metal when they can find  it. Although cyclopes understand the Giant tongue, they write nothing and speak little, using grunts and gestures for their interactions with each other.  Cyclopes don't use money for  trade, but they value gold, shells, and other glittering and colorful objects as jewelry. A cyclops might wear a necklace strung with feathers and silver coins, but also with pewter goblets, cutlery, and other bits of ruined metal.  Unwise. Cyclopes aren't great thinkers or strategists. Slow to learn and bound to their traditional ways, they find innovation difficult. Although they are a terrifying threat in combat due to their size and strength, they can often be tricked by clever foes.  Cyclopes can be cowed and awed by obvious displays of magic. Rustics with little exposure to magic, they can be deceived into mistaking a warlock, cleric, or other caster for a powerful divine figure.  However, their sense of pride causes them to  react with vengeful, bloodthirsty violence once they learn that the individual they assumed was a ""god"" is a mere mortal.  Huge giant,  chaotic neutral  Armor Class 14  (natural armor) Hit Points  138  (12d12 + 60) Speed 30ft. "
Dao," Dao are greedy, malicious genies from the Elemental Plane of Earth. They adorn themselves with jewelry crafted from  precious gems and rare metals, and when they fly,  their lower bodies become columns of swirling sand. A dao isn't happy unless it is the envy of other dao.  All That Glitters. The dao dwell in complexes of twisting tunnels and glittering ore-veined caverns on the Elemental Plane of Earth. These mazeworks are continually expanding as the dao delve into and reshape the rock around them. Dao care nothing for the poverty or misfortune of others. A dao might grind powdered gems and gold dust over its food  to heighten the experience of eating, devouring its wealth as mortals consume a precious spice.  Lords of the Earth. A dao never assists a mortal unless the genie has something to gain, preferably treasure. Among the genies, dao are on speaking and trading terms with the efreet, but they have nothing but scorn for djinn and marids. Other races native to the Elemental Plane of Earth avoid the dao, which are always seeking new slaves to mine the mazeworks of their floating earth islands.  Proud Slavers. The dao trade for the finest slaves that money can buy,  forcing them to work in dangerous subterranean realms that rumble with earthquakes. As much as they enjoy enslaving others, the dao hate being enslaved. Powerful wizards have been known to  lure dao to  the Material Plane and trap them in  the confines of magic gemstones or iron flasks . Unfortunately for  the dao, their greed makes it relatively easy for mages to cozen them into service. "
Death Knight,"Medium  undead, chaotic evil  Armor Class 20  (plate, shield) Hit Points 180  (19d8 + 95) Speed 30ft. "
Death Tyrant," On rare occasions, a beholder's sleeping mind drifts to places beyond its normal madness, imagining a reality in which it exists beyond death. When such dreams take hold, a beholder can transform, its flesh sloughing away to leave a death tyrant behind. This monster possesses the cunning and much of the magic it had in life, but it is fueled by the power of undeath.  A death tyrant appears as a massive, naked skull, with a pinpoint of red light gleaming in its hollow eye socket. With its eyestalks rotted away, ten spectral eyes hover above the creature and glare in all directions.  Deathly Despot. As they did when they were  beholders, death tyrants lord their power over other creatures. Moreover,  a beholder's ability to quash magical energy with its central eye gives way to a more sinister power in a death tyrant, which can transform former slaves and enemies into undead servants. Zombies created by a death tyrant are used and  discarded as needed. They stand guard at the entrances to the death tyrant's lair or guard its treasure vaults.  Acting as bait for traps or as combat fodder, Z0mbies keep powerful enemies distracted while the death tyrant ,, , moves into position and prepares to destroy them.  Armies of the Dead. A death tyrant that embraces undeath becomes an engine of destruction. Driven by a hunger for power and security, it advances against humanoid settlements, using its eye rays to destroy every creature it encounters, then building an army of undead. If left unchecked, a death tyrant might wipe  out the population of a city in weeks, then set its unde~d eye on wider conquest. As each settlement falls, the death tyrant's zombie forces build to overwhelming numpers. Undead Nature. A death tyrant doesn't require air,  food, drink, or sleep.  A DEATH TYRANT's LAIR A death tyrant's lair is usually the same site it held as a beholder, but it contains more trappings of death and decay. A death tyrant encountered in its lair has a challenge rating of 15 (13,000 XP). "
Deer,"Medium  beast, unaligned  Armor Class 13 Hit Points 4  (1d8) Speed 50  ft. "
Demilich,"The immortality granted to a lich lasts only as long as it feeds mortal souls to its phylactery. If it falters or fails in that task, its bones turn to dust until only its skull remains. This ""demilich"" contains only a fragment of the lich's malevolent life force- just enough so that if it is disturbed, these remains rise into the air and assume a wraithlike form. The skull  then emits a terrifying howl  that can slay the weak-hearted and leave others trembling with fear.  Left alone, it sinks back down and returns to  the empty peace of its existence.  Few liches seek to become demiliches, for it means an end to  the existence they hoped to  preserve by becoming undead. However, time can erode the lich's reason and memory, causing it to  retreat into its ancient tomb and forget to feed  on souls. The spells it once knew fade from its mind, and it  no longer channels the arcane energy it wielded as a lich. However, even as a mere skull it remains a deadly and vexing enemy.  Enduring Existence. Even after a lich is reduced to a demilich state, its phylactery survives. As long as its phylactery is intact, the demilich can't be permanently destroyed. Its skull  reforms after 1d10 days, restoring the creature to its wretched state. If it has the presence of mind to do so, a demilich can reclaim its former power by feeding just one soul to its phylactery. Doing so restores the demilich to lich form,  reconstituting its undead body.  Undead Nature. A demilich doesn't require air, food,  drink, or sleep. So great is a demilich's will to survive that it always has the maximum number of hit points for its Hit Dice, instead of average hit points.  A  DEMILICH's LAIR A demilich hides its earthly remains and treasures in a labyrinthine tomb guarded by monsters and traps. At the heart of this labyrinth rests the demilich's skull  and the dust from  its other bones.  In its crypt, a demilich has access to lair actions and additional uses for  its legendary actions. Its whole lair also has unique traits. A demilich in its lair has a challenge rating of 20 (24,500 XP). "
Deva," Devas are angels that act as divine messengers or agents to the Material P lane, the Shadowfell, and the Feywild and that can assume a form appropriate to  the realm they are sent to.  Legend tells of angels that take mortal form for years,  lending aid, hope, and courage to good hearted folk.  A deva can take any shape, although it prefers to appear to mortals as an innocuous humanoid or animal. When circumstances require that it cast off its guise, a deva  is a beautiful humanoid-like creature with silvery skin. Its hair and eyes gleam with an unearthly luster, and large feathery wings unfurl from  its shoulder blades."
Deva,"Medium celestial, lawful good  Armor Class 17  (natura l arm or) Hit Points  136  (16d8 + 64) Speed 30 ft.,  fl y 90ft. "
Dire Wolf,"Large  beast,  unaligned  Armor Class 14  (natural armor) Hit Points 37  (Sd10 + 10) Speed 50 ft. "
